2017/08/29 09:14:06 6798001	缓存托盘个数:0
2017/08/29 09:14:07 1038001	程序启动时,线体有托盘
2017/08/29 09:14:12 7178001	请求扫码:->2
2017/08/29 09:14:13 0968001	托盘条码:EC17D01B32090

2017/08/29 09:14:58 4508001	扫码失败
2017/08/29 09:14:58 4938001	请求数据绑定:->2
2017/08/29 09:14:58 4988001	请求数据绑定(自动)
2017/08/29 09:14:58 5428001	当前叠盘机中缓存托盘数量为:2
2017/08/29 09:14:58 8798001	请求数据绑定:2->4
2017/08/29 09:14:58 8918001	请求清除数据
2017/08/29 09:14:59 1718001	请求扫码:2->1
2017/08/29 09:14:59 2308001	扫码反馈归1,异常信息归1
2017/08/29 09:15:09 1398001	请求数据绑定:4->1
2017/08/29 09:15:09 1738001	托盘数据处理结果地址归1
2017/08/29 09:15:28 5908001	请求扫码:1->2
2017/08/29 09:15:29 0618001	托盘条码:ERROR:未能获取执行命令后返回的结果
2017/08/29 09:15:29 1008001	扫码失败
